system:time_start,NDVI
"Jul 11, 2015",0.457
"Jul 11, 2015",0.457
"Jul 31, 2015",0.407
"Jul 31, 2015",0.407
"Jul 31, 2015",0.408
"Aug 10, 2015",0.425
"Aug 10, 2015",0.677
"Aug 10, 2015",0.425
"Aug 10, 2015",0.425
"Aug 10, 2015",0.422
"Aug 10, 2015",0.422
"Aug 10, 2015",0.422
"Aug 10, 2015",0.422
"Aug 30, 2015",0.349
"Aug 30, 2015",0.35
"Aug 30, 2015",0.349
"Dec 28, 2015",0.543
"Dec 28, 2015",0.543
"Mar 17, 2016",0.573
"Mar 17, 2016",0.573
"Mar 27, 2016",0.629
"Mar 27, 2016",0.629
"May 6, 2016",0.556
"May 6, 2016",0.556
"May 26, 2016",0.686
"May 26, 2016",0.686
"Jun 25, 2016",0.565
"Jun 25, 2016",0.565
"Aug 14, 2016",0.507
"Aug 14, 2016",0.507
"Aug 24, 2016",0.297
"Aug 24, 2016",0.297
"Sep 13, 2016",0.464
"Sep 13, 2016",0.464
"Jan 1, 2017",0.056
"Jan 11, 2017",0.017
"Apr 1, 2017",0.268
"Apr 21, 2017",0.49
"May 1, 2017",0.502
"Jun 10, 2017",0.704
"Jun 20, 2017",0.681
"Jun 30, 2017",0.1
"Jul 5, 2017",0.532
"Jul 20, 2017",0.31
"Jul 30, 2017",0.296
"Aug 9, 2017",0.286
"Aug 29, 2017",0.351
"Sep 8, 2017",0.437
"Sep 28, 2017",0.38
"Mar 22, 2018",0.153
"Apr 21, 2018",0.171
"May 6, 2018",0.198
"May 26, 2018",0.366
"May 31, 2018",0.36
"Jun 20, 2018",0.747
"Jul 20, 2018",0.747
"Jul 25, 2018",0.732
"Aug 4, 2018",
"Aug 9, 2018",0.726
"Aug 19, 2018",0.57
"Aug 29, 2018",0.433
"Sep 8, 2018",0.261
"Sep 13, 2018",0.298
"Sep 18, 2018",0.255
"Sep 28, 2018",0.217
"Oct 13, 2018",0.172
"Oct 18, 2018",0.15
"Nov 17, 2018",0.286
"Jan 21, 2019",0.321
"Feb 5, 2019",0.342
"Feb 15, 2019",0.36
"Apr 1, 2019",0.578
"Apr 16, 2019",0.702
"Apr 21, 2019",0.719
"Jun 5, 2019",0.763
"Jun 20, 2019",0.629
"Jun 25, 2019",0.612
"Jun 30, 2019",0.547
"Jul 15, 2019",0.221
"Jul 20, 2019",0.207
"Jul 25, 2019",0.178
"Aug 4, 2019",0.176
"Aug 9, 2019",0.147
"Aug 19, 2019",0.236
"Sep 3, 2019",0.374
"Sep 13, 2019",0.653
"Sep 18, 2019",0.759
"Nov 7, 2019",0.339
"Jan 1, 2020",0.345
"Jan 6, 2020",0.279
"Jan 11, 2020",0.053
"Feb 20, 2020",0.096
"Apr 5, 2020",0.175
"Apr 10, 2020",0.182
"Apr 20, 2020",0.199
"Apr 25, 2020",0.174
"Jul 9, 2020",0.752
"Jul 29, 2020",0.781
"Aug 8, 2020",0.776
"Aug 13, 2020",0.751
"Aug 28, 2020",0.748
"Sep 2, 2020",0.773
"Sep 12, 2020",0.723
"Sep 22, 2020",0.377
"Sep 27, 2020",0.314
"Nov 6, 2020",0.325
"Nov 21, 2020",0.397
"Dec 31, 2020",0.436
"Jan 25, 2021",0.217
"Feb 4, 2021",0.421
"Feb 14, 2021",0.288
"Feb 24, 2021",0.327
"Mar 1, 2021",0.45
"Mar 6, 2021",0.481
"Mar 26, 2021",0.551
"Mar 31, 2021",0.638
"May 10, 2021",0.8
"Jun 9, 2021",0.733
"Jun 14, 2021",0.742
"Jun 19, 2021",0.626
"Jun 24, 2021",0.52
"Jun 29, 2021",0.416
"Jul 24, 2021",0.191
"Jul 29, 2021",0.177
