system:time_start,VH
"Jan 2, 2016",-0.208
"Jan 14, 2016",-0.186
"Jan 26, 2016",-0.184
"Feb 7, 2016",-0.178
"Feb 19, 2016",-0.182
"Mar 2, 2016",-0.182
"Mar 14, 2016",-0.182
"Mar 26, 2016",-0.191
"Apr 7, 2016",-0.198
"Apr 19, 2016",-0.197
"May 1, 2016",-0.204
"May 13, 2016",-0.173
"May 25, 2016",-0.162
"Jun 6, 2016",-0.156
"Jun 30, 2016",-0.151
"Jul 12, 2016",-0.152
"Jul 24, 2016",-0.19
"Aug 5, 2016",-0.171
"Aug 17, 2016",-0.205
"Aug 29, 2016",-0.205
"Sep 10, 2016",-0.2
"Sep 22, 2016",-0.189
"Sep 28, 2016",-0.212
"Oct 4, 2016",-0.173
"Oct 10, 2016",-0.194
"Oct 16, 2016",-0.198
"Oct 22, 2016",-0.189
"Oct 28, 2016",-0.182
"Nov 3, 2016",-0.194
"Nov 9, 2016",-0.196
"Nov 15, 2016",-0.191
"Nov 21, 2016",-0.181
"Nov 27, 2016",-0.187
"Dec 3, 2016",-0.234
"Dec 9, 2016",-0.209
"Dec 15, 2016",-0.185
"Dec 21, 2016",-0.242
"Dec 27, 2016",-0.186
"Jan 2, 2017",-0.241
"Jan 8, 2017",-0.242
"Jan 14, 2017",-0.284
"Jan 26, 2017",-0.232
"Feb 1, 2017",-0.254
"Feb 7, 2017",-0.287
"Feb 13, 2017",-0.247
"Feb 19, 2017",-0.19
"Feb 25, 2017",-0.2
"Mar 3, 2017",-0.22
"Mar 9, 2017",-0.194
"Mar 15, 2017",-0.223
"Mar 21, 2017",-0.196
"Mar 27, 2017",-0.243
"Apr 2, 2017",-0.239
"Apr 8, 2017",-0.203
"Apr 14, 2017",-0.226
"Apr 20, 2017",-0.2
"Apr 26, 2017",-0.213
"May 2, 2017",-0.23
"May 8, 2017",-0.193
"May 14, 2017",-0.23
"May 20, 2017",-0.243
"May 26, 2017",-0.242
"Jun 1, 2017",-0.237
"Jun 7, 2017",-0.226
"Jun 13, 2017",-0.224
"Jun 19, 2017",-0.218
"Jun 25, 2017",-0.197
"Jul 1, 2017",-0.203
"Jul 7, 2017",-0.205
"Jul 13, 2017",-0.216
"Jul 19, 2017",-0.24
"Jul 25, 2017",-0.205
"Jul 31, 2017",-0.234
"Aug 6, 2017",-0.159
"Aug 12, 2017",-0.188
"Aug 18, 2017",-0.225
"Aug 24, 2017",-0.224
"Aug 30, 2017",-0.224
"Sep 5, 2017",-0.2
"Sep 11, 2017",-0.206
"Sep 17, 2017",-0.185
"Sep 23, 2017",-0.206
"Sep 29, 2017",-0.214
"Oct 5, 2017",-0.221
"Oct 11, 2017",-0.199
"Oct 17, 2017",-0.203
"Oct 23, 2017",-0.186
"Oct 29, 2017",-0.176
"Nov 4, 2017",-0.182
"Nov 10, 2017",-0.177
"Nov 16, 2017",-0.181
"Nov 22, 2017",-0.174
"Nov 28, 2017",-0.179
"Dec 4, 2017",-0.236
"Dec 10, 2017",-0.197
"Dec 16, 2017",-0.175
"Dec 22, 2017",-0.168
"Dec 28, 2017",-0.169
"Jan 3, 2018",-0.168
"Jan 9, 2018",-0.169
"Jan 15, 2018",-0.199
"Jan 21, 2018",-0.239
"Jan 27, 2018",-0.17
"Feb 2, 2018",-0.18
"Feb 8, 2018",-0.205
"Feb 14, 2018",-0.187
"Feb 20, 2018",-0.201
"Feb 26, 2018",-0.231
"Mar 4, 2018",-0.211
"Mar 10, 2018",-0.182
"Mar 16, 2018",-0.168
"Mar 22, 2018",-0.188
"Mar 28, 2018",-0.189
"Apr 3, 2018",-0.204
"Apr 9, 2018",-0.221
"Apr 15, 2018",-0.255
"Apr 21, 2018",-0.258
"Apr 27, 2018",-0.286
"May 3, 2018",-0.29
"May 9, 2018",-0.277
"May 15, 2018",-0.198
"May 21, 2018",-0.253
"May 27, 2018",-0.231
"Jun 2, 2018",-0.187
"Jun 8, 2018",-0.203
"Jun 14, 2018",-0.182
"Jun 20, 2018",-0.2
"Jun 26, 2018",-0.199
"Jul 2, 2018",-0.192
"Jul 8, 2018",-0.213
"Jul 14, 2018",-0.203
"Jul 20, 2018",-0.21
"Jul 26, 2018",-0.191
"Aug 1, 2018",-0.209
"Aug 7, 2018",-0.195
"Aug 13, 2018",-0.206
"Aug 19, 2018",-0.205
"Aug 25, 2018",-0.212
"Aug 31, 2018",-0.201
"Sep 6, 2018",-0.202
"Sep 12, 2018",-0.206
"Sep 18, 2018",-0.216
"Sep 24, 2018",-0.203
"Sep 30, 2018",-0.242
"Oct 6, 2018",-0.233
"Oct 12, 2018",-0.255
"Oct 18, 2018",-0.225
"Oct 24, 2018",-0.189
"Oct 30, 2018",-0.25
"Nov 5, 2018",-0.236
"Nov 11, 2018",-0.249
"Nov 17, 2018",-0.274
"Nov 23, 2018",-0.215
"Nov 29, 2018",-0.266
"Dec 5, 2018",-0.207
"Dec 11, 2018",-0.176
"Dec 17, 2018",-0.204
"Dec 23, 2018",-0.18
"Dec 29, 2018",-0.206
"Jan 4, 2019",-0.215
"Jan 10, 2019",-0.236
"Jan 16, 2019",-0.196
"Jan 22, 2019",-0.273
"Jan 28, 2019",-0.282
"Feb 3, 2019",-0.188
"Feb 9, 2019",-0.187
"Feb 15, 2019",-0.193
"Feb 21, 2019",-0.209
"Feb 27, 2019",-0.221
"Mar 5, 2019",-0.222
"Mar 11, 2019",-0.19
"Mar 17, 2019",-0.201
"Mar 23, 2019",-0.217
"Mar 29, 2019",-0.221
"Apr 4, 2019",-0.227
"Apr 10, 2019",-0.211
"Apr 16, 2019",-0.235
"Apr 22, 2019",-0.251
"Apr 28, 2019",-0.261
"May 4, 2019",-0.242
"May 10, 2019",-0.233
"May 16, 2019",-0.242
"May 22, 2019",-0.245
"May 28, 2019",-0.228
"Jun 3, 2019",-0.224
"Jun 9, 2019",-0.239
"Jun 15, 2019",-0.222
"Jun 21, 2019",-0.212
"Jun 27, 2019",-0.214
"Jul 3, 2019",-0.236
"Jul 9, 2019",-0.239
"Jul 15, 2019",-0.206
"Jul 21, 2019",-0.248
"Jul 27, 2019",-0.27
"Aug 2, 2019",-0.248
"Aug 8, 2019",-0.274
"Aug 14, 2019",-0.273
"Aug 20, 2019",-0.289
"Aug 26, 2019",-0.279
"Sep 1, 2019",-0.235
"Sep 7, 2019",-0.195
"Sep 19, 2019",-0.215
"Sep 25, 2019",-0.206
"Oct 1, 2019",-0.189
"Oct 7, 2019",-0.195
"Oct 13, 2019",-0.202
"Oct 19, 2019",-0.204
"Oct 25, 2019",-0.189
"Oct 31, 2019",-0.199
"Nov 6, 2019",-0.185
"Nov 12, 2019",-0.183
"Nov 18, 2019",-0.181
"Nov 24, 2019",-0.196
"Nov 30, 2019",-0.188
"Dec 6, 2019",-0.183
"Dec 12, 2019",-0.169
"Dec 18, 2019",-0.169
"Dec 24, 2019",-0.164
"Dec 30, 2019",-0.185
"Jan 5, 2020",-0.193
"Jan 11, 2020",-0.183
"Jan 17, 2020",-0.191
"Jan 23, 2020",-0.202
"Jan 29, 2020",-0.165
"Feb 4, 2020",-0.161
"Feb 10, 2020",-0.173
"Feb 16, 2020",-0.187
"Feb 22, 2020",-0.214
"Feb 28, 2020",-0.181
"Mar 5, 2020",-0.209
"Mar 11, 2020",-0.196
"Mar 17, 2020",-0.24
"Mar 23, 2020",-0.221
"Mar 29, 2020",-0.253
"Apr 4, 2020",-0.259
"Apr 10, 2020",-0.251
"Apr 16, 2020",-0.272
"Apr 22, 2020",-0.277
"Apr 28, 2020",-0.282
"May 4, 2020",-0.262
"May 10, 2020",-0.291
"May 16, 2020",-0.251
"May 22, 2020",-0.276
"May 28, 2020",-0.192
"Jun 3, 2020",-0.207
"Jun 9, 2020",-0.191
"Jun 15, 2020",-0.172
"Jun 27, 2020",-0.175
"Jul 3, 2020",-0.179
"Jul 9, 2020",-0.198
"Jul 15, 2020",-0.202
"Jul 21, 2020",-0.193
"Jul 27, 2020",-0.189
"Aug 2, 2020",-0.182
"Aug 8, 2020",-0.182
"Aug 14, 2020",-0.184
"Aug 20, 2020",-0.184
"Aug 26, 2020",-0.185
"Sep 1, 2020",-0.184
"Sep 7, 2020",-0.181
"Sep 13, 2020",-0.184
"Sep 19, 2020",-0.217
"Sep 25, 2020",-0.168
"Oct 1, 2020",-0.192
"Oct 7, 2020",-0.233
"Oct 13, 2020",-0.187
"Oct 19, 2020",-0.198
"Oct 25, 2020",-0.2
"Oct 31, 2020",-0.196
"Nov 6, 2020",-0.201
"Nov 12, 2020",-0.196
"Nov 18, 2020",-0.208
"Nov 24, 2020",-0.209
"Nov 30, 2020",-0.24
"Dec 6, 2020",-0.21
"Dec 12, 2020",-0.194
"Dec 18, 2020",-0.207
"Dec 24, 2020",-0.197
"Dec 30, 2020",-0.204
"Jan 11, 2021",-0.239
"Jan 17, 2021",-0.229
"Jan 23, 2021",-0.221
"Feb 4, 2021",-0.196
"Feb 10, 2021",-0.201
"Feb 16, 2021",-0.192
"Feb 22, 2021",-0.2
"Feb 28, 2021",-0.208
"Mar 6, 2021",-0.215
"Mar 12, 2021",-0.21
"Mar 18, 2021",-0.205
"Mar 24, 2021",-0.211
"Mar 30, 2021",-0.218
"Apr 5, 2021",-0.226
"Apr 11, 2021",-0.223
"Apr 17, 2021",-0.224
"Apr 23, 2021",-0.222
"Apr 29, 2021",-0.239
"May 5, 2021",-0.255
"May 11, 2021",-0.259
"May 17, 2021",-0.231
"May 23, 2021",-0.236
"May 29, 2021",-0.226
"Jun 4, 2021",-0.209
"Jun 10, 2021",-0.195
"Jun 16, 2021",-0.195
"Jun 22, 2021",-0.212
"Jun 28, 2021",-0.215
"Jul 4, 2021",-0.217
"Jul 10, 2021",-0.219
"Jul 16, 2021",-0.213
"Jul 22, 2021",-0.233
"Jul 28, 2021",-0.178
"Aug 3, 2021",-0.245
"Aug 9, 2021",-0.233
"Aug 15, 2021",-0.263
"Aug 21, 2021",-0.261
"Aug 27, 2021",-0.202
"Sep 2, 2021",-0.239
"Sep 14, 2021",-0.259
"Sep 20, 2021",-0.234
