Time,VV
"Jan 2, 2016",-11.466
"Jan 14, 2016",-9.573
"Jan 26, 2016",-8.91
"Feb 7, 2016",-9.378
"Feb 19, 2016",-7.929
"Mar 2, 2016",-9.38
"Mar 14, 2016",-9.462
"Mar 26, 2016",-10.683
"Apr 7, 2016",-12.306
"Apr 19, 2016",-11.284
"May 1, 2016",-12.825
"May 13, 2016",-9.324
"May 25, 2016",-7.778
"Jun 6, 2016",-8.951
"Jun 30, 2016",-8.558
"Jul 12, 2016",-8.151
"Jul 24, 2016",-10.623
"Aug 5, 2016",-9.311
"Aug 17, 2016",-11.345
"Aug 29, 2016",-10.111
"Sep 10, 2016",-10.655
"Sep 22, 2016",-10.69
"Sep 28, 2016",-12.012
"Oct 4, 2016",-8.702
"Oct 10, 2016",-9.282
"Oct 16, 2016",-10.126
"Oct 22, 2016",-9.654
"Oct 28, 2016",-9.478
"Nov 3, 2016",-8.407
"Nov 9, 2016",-8.824
"Nov 15, 2016",-7.916
"Nov 21, 2016",-7.3
"Nov 27, 2016",-7.427
"Dec 3, 2016",-11.236
"Dec 9, 2016",-8.367
"Dec 15, 2016",-7.771
"Dec 21, 2016",-10.978
"Dec 27, 2016",-7.96
"Jan 2, 2017",-12.33
"Jan 8, 2017",-12.553
"Jan 14, 2017",-16.902
"Jan 26, 2017",-12.765
"Feb 1, 2017",-13.67
"Feb 7, 2017",-17.52
"Feb 13, 2017",-13.377
"Feb 19, 2017",-8.063
"Feb 25, 2017",-8.763
"Mar 3, 2017",-9.751
"Mar 9, 2017",-8.912
"Mar 15, 2017",-9.588
"Mar 21, 2017",-7.847
"Mar 27, 2017",-11.434
"Apr 2, 2017",-12.657
"Apr 8, 2017",-8.919
"Apr 14, 2017",-11.947
"Apr 20, 2017",-9.385
"Apr 26, 2017",-11.805
"May 2, 2017",-14.256
"May 8, 2017",-12.315
"May 14, 2017",-14.501
"May 20, 2017",-14.299
"May 26, 2017",-14.455
"Jun 1, 2017",-15.66
"Jun 7, 2017",-14.941
"Jun 13, 2017",-13.558
"Jun 19, 2017",-13.699
"Jun 25, 2017",-11.745
"Jul 1, 2017",-12.548
"Jul 7, 2017",-12.293
"Jul 13, 2017",-11.949
"Jul 19, 2017",-14.138
"Jul 25, 2017",-10.648
"Jul 31, 2017",-12.37
"Aug 6, 2017",-7.681
"Aug 12, 2017",-8.171
"Aug 18, 2017",-12.027
"Aug 24, 2017",-12.155
"Aug 30, 2017",-11.221
"Sep 5, 2017",-9.566
"Sep 11, 2017",-10.981
"Sep 17, 2017",-9.526
"Sep 23, 2017",-11.052
"Sep 29, 2017",-12.546
"Oct 5, 2017",-11.958
"Oct 11, 2017",-10.528
"Oct 17, 2017",-12.048
"Oct 23, 2017",-10.255
"Oct 29, 2017",-8.861
"Nov 4, 2017",-9.099
"Nov 10, 2017",-9.097
"Nov 16, 2017",-9.74
"Nov 22, 2017",-9.382
"Nov 28, 2017",-9.935
"Dec 4, 2017",-12.808
"Dec 10, 2017",-10.906
"Dec 16, 2017",-8.653
"Dec 22, 2017",-8.326
"Dec 28, 2017",-8.892
"Jan 3, 2018",-8.53
"Jan 9, 2018",-8.39
"Jan 15, 2018",-10.225
"Jan 21, 2018",-11.972
"Jan 27, 2018",-8.899
"Feb 2, 2018",-8.81
"Feb 8, 2018",-11.574
"Feb 14, 2018",-9.339
"Feb 20, 2018",-11.122
"Feb 26, 2018",-12.565
"Mar 4, 2018",-11.865
"Mar 10, 2018",-8.789
"Mar 16, 2018",-8.953
